,song-name,lyrics,release-year,genius-path
0,Air Bud,"Strange, strange days inside My mind is daily changing And it's charged by The shifting tones of time flying Just in case you were wondering where I Was Was Strange Strange, strange days inside My mind is daily changing As result of the black cloud coming down Just in case you were watching the Horizon Horizon Horizon  (We want out and we want it now) (We wanna take it outta town) (We want out and we want it now) (We wanna take it outta town) Strange, strange days inside",2013,/Kurt-vile-air-bud-lyrics
1,All in a Daze Work,"[Verse 1] Chinese charms and well-tanked in Burbank Strumming unsuccessfully but moreso just pressin' keys and Hey Jack of diamonds all jack of horse Hey man I believe I'm floating and off course of course Guess I got my mind well twisted didn’t I, well…  [Chorus] All in a daze work, and All in a daze work, and All in a daze work, and All in a daze work, and All in a daze work, and All in a… all in a… all in a daze work  [Verse 2] She come flying through like a traveling gypsy show tornado Leaving us lying there bleedin’ Cut wide open, hearts broken Guess I got my mind well twisted didn’t I, well…  Chorus All in a daze work, and All in a daze work, and All in a daze work, and All in a daze work, and All in a daze work, and All in a… all in a… all in a daze work",2015,/Kurt-vile-all-in-a-daze-work-lyrics
2,Amplifier,"Don't just stand [?] your head Don't sit [?] [?] Turn around, to the trees Toss your key 'Cause this is home This is home [?] alone  The [?] That you got to know I don't mean to cause you suffering [?] 'Cause I got nothing in my head [?] To tell a [?] He was alone He was alone Don't sit still[?} [?] head Don't sit [?] [?] Upside down Turn around, towards the amplifier [?] Understand my command Free[?] your keys 'Cause this is home This is home This is home Home Home",2009,/Kurt-vile-amplifier-lyrics
3,Baby’s Arms,"There has been but one true love In my baby’s arms, in my baby’s arms And I got the hands to hold onto them  I get sick of just about everyone And I hide in my baby’s arms, my baby’s arms 'Cause except for her, you know, as I've implied  I will never ever ever be alone 'Cause it’s all in my baby’s hands Shiny, shiny secret stones In my baby’s hands In my baby’s hands  I get sick of just about everyone And I hide in my baby’s arms Shrink myself just like a Tom Thumb And I hide in my baby’s hands Hide in my baby’s hands  'Cause except for her There just ain't nothing to latch onto Yeah, yeah, yeah  There has been but one true love In my baby’s arms In my baby’s arms In my baby’s arms In my baby’s arms In my baby’s arms In my baby’s arms In my baby’s arms",2011,/Kurt-vile-babys-arms-lyrics
4,Bad Omens,False,2015,/Kurt-vile-bad-omens-lyrics
5,Bassackwards,"[Intro: Spoken] What's in real...what's in real time? Ha ha ha [?]  I was on the beach, but I was thinking about the bay Got to the bay, but by then I was far away I was on the ground but looking straight into the sun But the sun went down and I couldn't find another one For awhile For because it was an all-burning feeling in my chest To fill the void Of a long night unwatched by, well, the sun Until the morn Until when, well, the sun's reborn And so am I From all the scorn buried deep Within the psyche of my soul I was standing down but I was also on the run In my mind  I was on the radio talking with a friend of mine There wasn't no format because well, we like it like that He was out of his mind and I was way out of mine Then everything went backwards With words coming out Bassackwards And I appreciate him to the utmost degree ",2018,/Kurt-vile-bassackwards-lyrics
6,Beach On The Moon (Recycled Lyrics),"I got a freeway in mind, let go of my head Walk down my line, better be sure you'll be dead You get up on top, these days you gotta be a low-life drifter so Slither up just like a snake upon a spiral staircase  Got a freeway in mind, let go of my head Walk down my line, better be sure you'll be dead You get up on top, these days you gotta be a low-life drifter so Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase  Get your damn hands off of my land Why don't you sock me and get off of my street? 'Cause I scared you out of your own shoes Now I'm gonna tie 'em together and hang 'em on a wire Till it's junkies for hire and I got a hunchback  Got a freeway in mind, let go of my head Walk down my line, better be sure you'll be dead To get up on top, these days you gotta be a low-life drifter So slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase Slither up just like a snake upon a spiral staircase",2009,/Kurt-vile-beach-on-the-moon-recycled-lyrics-lyrics
7,Best Love,"The best kind of love is found when you're not looking It comes and goes who plant the rose that you least expect it to It's only true and true, if you don't have to ask for it True friends come disguised and go beyond the call of duty Take for example [??] Recognize my cousin, you'll see he's like a brother to me I got a good friend that looks up for me like a father figure [??] to distant relatives Sometimes I lay awake at night turning 'cause I lost my best friend If you had a true friend, I'm sorry and you know I feel for you Me, I lost someone like a doctor, so its deeper than I talk to you It makes me feel like a part of me is dead too Take into account [??] she's my mother She looks to me to protect younger kin, it's a family thing Every son would fight for your sisters and brothers You're the man of the house, but Daddy's gonna stop at nothing",0,/Kurt-vile-best-love-lyrics
8,Blackberry Song,"[Verse 1] Man, I like your style Make it last a little while Put yourself under the ground And you come back around I want to see you Still the same  [Verse 2] Girl, you're like a child Your blackberries grow so wild Pick the best ones off the bush You relish and wish you were alright Left with lace With rightness  [Verse 3] My beloved blackberry My love for you floats free Leave yourself in sound Turn around Sing me your blackberry song",2009,/Kurt-vile-blackberry-song-lyrics
9,Black Hands,False,0,/Kurt-vile-black-hands-lyrics
